h,median,upper,lower,variable,model,varirf,version,shock,mean
19,0.0115,0.2717,-0.2585,consumption,classical_fd,-0.0803,original,Main,
20,0.0057,0.2638,-0.2697,consumption,classical_fd,-0.0876,original,Main,
21,-0.0044,0.2591,-0.2769,consumption,classical_fd,-0.0946,original,Main,
22,-0.0094,0.2504,-0.2858,consumption,classical_fd,-0.1011,original,Main,
23,-0.015,0.245,-0.299,consumption,classical_fd,-0.107,original,Main,
24,-0.0237,0.2384,-0.3086,consumption,classical_fd,-0.1123,original,Main,
25,-0.0276,0.2382,-0.318,consumption,classical_fd,-0.1169,original,Main,
26,-0.0341,0.2311,-0.3221,consumption,classical_fd,-0.1209,original,Main,
27,-0.036,0.2276,-0.3233,consumption,classical_fd,-0.1242,original,Main,
28,-0.0427,0.2248,-0.327,consumption,classical_fd,-0.127,original,Main,
29,-0.0486,0.2205,-0.3318,consumption,classical_fd,-0.1293,original,Main,
30,-0.0512,0.2173,-0.3364,consumption,classical_fd,-0.131,original,Main,
31,-0.0517,0.218,-0.342,consumption,classical_fd,-0.1323,original,Main,
32,-0.054,0.2186,-0.3473,consumption,classical_fd,-0.1331,original,Main,
33,-0.0544,0.2192,-0.3499,consumption,classical_fd,-0.1335,original,Main,
34,-0.0552,0.2215,-0.3544,consumption,classical_fd,-0.1335,original,Main,
35,-0.0543,0.2239,-0.3615,consumption,classical_fd,-0.1332,original,Main,
36,-0.0532,0.2245,-0.3662,consumption,classical_fd,-0.1326,original,Main,
37,-0.0567,0.2261,-0.3672,consumption,classical_fd,-0.1318,original,Main,
38,-0.0551,0.2294,-0.3778,consumption,classical_fd,-0.1307,original,Main,
39,-0.0579,0.2378,-0.3788,consumption,classical_fd,-0.1295,original,Main,
40,-0.0564,0.2465,-0.3819,consumption,classical_fd,-0.1281,original,Main,
1,-0.3191,-0.2304,-0.3836,hours_worked,classical_fd,-0.3558,original,Main,
2,-0.4781,-0.389,-0.5453,hours_worked,classical_fd,-0.5306,original,Main,
3,-0.534,-0.4093,-0.6184,hours_worked,classical_fd,-0.5821,original,Main,
4,-0.507,-0.3255,-0.6216,hours_worked,classical_fd,-0.5367,original,Main,
5,-0.4214,-0.1641,-0.5956,hours_worked,classical_fd,-0.438,original,Main,
6,-0.2978,0.0034,-0.5397,hours_worked,classical_fd,-0.3184,original,Main,
7,-0.1739,0.1564,-0.4543,hours_worked,classical_fd,-0.2002,original,Main,
8,-0.0597,0.27,-0.3676,hours_worked,classical_fd,-0.0964,original,Main,
9,0.033,0.352,-0.2869,hours_worked,classical_fd,-0.0131,original,Main,
10,0.1055,0.4065,-0.2137,hours_worked,classical_fd,0.0483,original,Main,
11,0.151,0.4342,-0.1537,hours_worked,classical_fd,0.0895,original,Main,
12,0.1775,0.444,-0.1014,hours_worked,classical_fd,0.1136,original,Main,
13,0.185,0.4442,-0.067,hours_worked,classical_fd,0.1244,original,Main,
14,0.1851,0.4251,-0.0391,hours_worked,classical_fd,0.1254,original,Main,
15,0.1748,0.3989,-0.0303,hours_worked,classical_fd,0.1201,original,Main,
16,0.1698,0.3744,-0.0301,hours_worked,classical_fd,0.1108,original,Main,
17,0.1612,0.3492,-0.0296,hours_worked,classical_fd,0.0995,original,Main,
18,0.1472,0.3274,-0.0302,hours_worked,classical_fd,0.0876,original,Main,
19,0.1331,0.3033,-0.0391,hours_worked,classical_fd,0.0761,original,Main,
20,0.1184,0.2821,-0.0424,hours_worked,classical_fd,0.0654,original,Main,
21,0.1056,0.2637,-0.0544,hours_worked,classical_fd,0.0558,original,Main,
22,0.0954,0.2499,-0.0618,hours_worked,classical_fd,0.0475,original,Main,
23,0.0862,0.2374,-0.0691,hours_worked,classical_fd,0.0404,original,Main,
24,0.0732,0.2286,-0.0764,hours_worked,classical_fd,0.0345,original,Main,
25,0.0648,0.2209,-0.0834,hours_worked,classical_fd,0.0297,original,Main,
26,0.0558,0.2162,-0.088,hours_worked,classical_fd,0.0259,original,Main,
27,0.0465,0.2095,-0.0926,hours_worked,classical_fd,0.023,original,Main,
28,0.0411,0.2073,-0.0958,hours_worked,classical_fd,0.021,original,Main,
29,0.0372,0.1987,-0.1006,hours_worked,classical_fd,0.0197,original,Main,
30,0.0373,0.1938,-0.1052,hours_worked,classical_fd,0.019,original,Main,
31,0.0365,0.1875,-0.1122,hours_worked,classical_fd,0.019,original,Main,
32,0.035,0.1871,-0.1105,hours_worked,classical_fd,0.0194,original,Main,
33,0.0331,0.1885,-0.1129,hours_worked,classical_fd,0.0203,original,Main,
34,0.0361,0.1917,-0.118,hours_worked,classical_fd,0.0216,original,Main,
35,0.0339,0.1976,-0.1209,hours_worked,classical_fd,0.0232,original,Main,
36,0.0351,0.2057,-0.1209,hours_worked,classical_fd,0.0249,original,Main,
37,0.0359,0.21,-0.1216,hours_worked,classical_fd,0.0269,original,Main,
38,0.04,0.2142,-0.1202,hours_worked,classical_fd,0.0289,original,Main,
39,0.0429,0.22,-0.1202,hours_worked,classical_fd,0.0311,original,Main,
40,0.0461,0.2287,-0.1198,hours_worked,classical_fd,0.0332,original,Main,
1,0.1724,0.1908,0.1446,unemployment,classical_fd,0.1984,original,Main,
2,0.2958,0.3261,0.2456,unemployment,classical_fd,0.3301,original,Main,
3,0.3506,0.3944,0.2794,unemployment,classical_fd,0.3845,original,Main,
4,0.3552,0.4164,0.2464,unemployment,classical_fd,0.3796,original,Main,
5,0.3216,0.4119,0.1737,unemployment,classical_fd,0.3376,original,Main,
6,0.2572,0.384,0.0846,unemployment,classical_fd,0.2765,original,Main,
7,0.1903,0.3424,-0.0072,unemployment,classical_fd,0.21,original,Main,
8,0.1225,0.2947,-0.0808,unemployment,classical_fd,0.1472,original,Main,
9,0.0665,0.2442,-0.1321,unemployment,classical_fd,0.0932,original,Main,
10,0.0198,0.1938,-0.1716,unemployment,classical_fd,0.0503,original,Main,
11,-0.0162,0.1572,-0.1921,unemployment,classical_fd,0.0187,original,Main,
12,-0.0379,0.1292,-0.2063,unemployment,classical_fd,-0.0027,original,Main,
13,-0.054,0.1046,-0.2117,unemployment,classical_fd,-0.0153,original,Main,
14,-0.0575,0.0862,-0.2074,unemployment,classical_fd,-0.0213,original,Main,
15,-0.0564,0.0669,-0.195,unemployment,classical_fd,-0.0223,original,Main,
16,-0.0524,0.0527,-0.1789,unemployment,classical_fd,-0.02,original,Main,
17,-0.0474,0.0475,-0.1634,unemployment,classical_fd,-0.0156,original,Main,
18,-0.0404,0.0469,-0.145,unemployment,classical_fd,-0.0102,original,Main,
19,-0.0342,0.048,-0.1323,unemployment,classical_fd,-0.0043,original,Main,
20,-0.0292,0.0506,-0.1185,unemployment,classical_fd,0.0015,original,Main,
21,-0.0204,0.0548,-0.1066,unemployment,classical_fd,0.0068,original,Main,
22,-0.015,0.0596,-0.0967,unemployment,classical_fd,0.0116,original,Main,
23,-0.0076,0.0635,-0.0865,unemployment,classical_fd,0.0158,original,Main,
24,-0.0025,0.0683,-0.0765,unemployment,classical_fd,0.0193,original,Main,
25,0.0045,0.0726,-0.0685,unemployment,classical_fd,0.0222,original,Main,
26,0.0077,0.0752,-0.062,unemployment,classical_fd,0.0244,original,Main,
27,0.0117,0.078,-0.056,unemployment,classical_fd,0.0261,original,Main,
28,0.0138,0.0797,-0.05,unemployment,classical_fd,0.0273,original,Main,
29,0.0159,0.084,-0.0459,unemployment,classical_fd,0.028,original,Main,
30,0.0177,0.0838,-0.0437,unemployment,classical_fd,0.0282,original,Main,
31,0.0196,0.0851,-0.0393,unemployment,classical_fd,0.0281,original,Main,
32,0.0224,0.0858,-0.0378,unemployment,classical_fd,0.0277,original,Main,
33,0.0234,0.0888,-0.0371,unemployment,classical_fd,0.0269,original,Main,
34,0.0242,0.0868,-0.0357,unemployment,classical_fd,0.0259,original,Main,
35,0.0249,0.0883,-0.0338,unemployment,classical_fd,0.0247,original,Main,
36,0.0244,0.0874,-0.0317,unemployment,classical_fd,0.0234,original,Main,
37,0.0239,0.0861,-0.0323,unemployment,classical_fd,0.0219,original,Main,
38,0.0234,0.085,-0.0316,unemployment,classical_fd,0.0204,original,Main,
39,0.0225,0.0825,-0.032,unemployment,classical_fd,0.0188,original,Main,
40,0.0207,0.0809,-0.0324,unemployment,classical_fd,0.0172,original,Main,
1,0.1495,0.2986,-0.0269,labor_share,classical_fd,0.1675,original,Main,
2,0.1085,0.216,-0.0039,labor_share,classical_fd,0.128,original,Main,
3,0.0336,0.1506,-0.0847,labor_share,classical_fd,0.0529,original,Main,
4,-0.0502,0.0572,-0.156,labor_share,classical_fd,-0.0371,original,Main,
5,-0.1249,-0.0248,-0.2229,labor_share,classical_fd,-0.1166,original,Main,
6,-0.1753,-0.0856,-0.2589,labor_share,classical_fd,-0.1747,original,Main,
7,-0.2024,-0.1271,-0.2791,labor_share,classical_fd,-0.2079,original,Main,
8,-0.2081,-0.1362,-0.2827,labor_share,classical_fd,-0.2188,original,Main,
9,-0.1989,-0.1194,-0.2827,labor_share,classical_fd,-0.2117,original,Main,
10,-0.1836,-0.089,-0.2716,labor_share,classical_fd,-0.1923,original,Main,
11,-0.156,-0.0462,-0.2581,labor_share,classical_fd,-0.1654,original,Main,
12,-0.1242,-0.004,-0.2392,labor_share,classical_fd,-0.1353,original,Main,
13,-0.0892,0.0308,-0.2217,labor_share,classical_fd,-0.1053,original,Main,
14,-0.0624,0.0645,-0.198,labor_share,classical_fd,-0.0774,original,Main,
15,-0.0341,0.0889,-0.1747,labor_share,classical_fd,-0.053,original,Main,
16,-0.0128,0.1101,-0.1476,labor_share,classical_fd,-0.0325,original,Main,
17,0.0049,0.1253,-0.1238,labor_share,classical_fd,-0.016,original,Main,
18,0.0173,0.1336,-0.1065,labor_share,classical_fd,-0.0033,original,Main,
19,0.0255,0.1385,-0.0894,labor_share,classical_fd,0.0061,original,Main,
20,0.0294,0.1369,-0.0779,labor_share,classical_fd,0.0127,original,Main,
21,0.0316,0.1362,-0.0674,labor_share,classical_fd,0.0171,original,Main,
22,0.0331,0.1325,-0.0619,labor_share,classical_fd,0.0198,original,Main,
23,0.0347,0.1277,-0.0558,labor_share,classical_fd,0.0211,original,Main,
24,0.0344,0.1233,-0.0512,labor_share,classical_fd,0.0215,original,Main,
25,0.033,0.119,-0.0489,labor_share,classical_fd,0.0212,original,Main,
26,0.032,0.1157,-0.047,labor_share,classical_fd,0.0206,original,Main,
27,0.0295,0.1101,-0.0512,labor_share,classical_fd,0.0197,original,Main,
28,0.0286,0.1042,-0.0503,labor_share,classical_fd,0.0188,original,Main,
29,0.0265,0.101,-0.0544,labor_share,classical_fd,0.0178,original,Main,
30,0.0234,0.097,-0.0517,labor_share,classical_fd,0.017,original,Main,
31,0.0201,0.0969,-0.0537,labor_share,classical_fd,0.0163,original,Main,
32,0.0184,0.0961,-0.0546,labor_share,classical_fd,0.0158,original,Main,
33,0.0156,0.0953,-0.0554,labor_share,classical_fd,0.0156,original,Main,
34,0.0137,0.0927,-0.0542,labor_share,classical_fd,0.0155,original,Main,
35,0.012,0.0943,-0.0543,labor_share,classical_fd,0.0157,original,Main,
36,0.012,0.0927,-0.0568,labor_share,classical_fd,0.0161,original,Main,
37,0.0117,0.0935,-0.0579,labor_share,classical_fd,0.0166,original,Main,
38,0.013,0.0927,-0.0585,labor_share,classical_fd,0.0173,original,Main,
39,0.0125,0.0935,-0.0605,labor_share,classical_fd,0.0182,original,Main,
40,0.0124,0.0947,-0.0596,labor_share,classical_fd,0.0192,original,Main,
1,-0.0518,-0.0063,-0.1038,interest,classical_fd,-0.056,original,Main,
2,-0.1041,-0.045,-0.1548,interest,classical_fd,-0.1055,original,Main,
3,-0.1229,-0.0691,-0.1666,interest,classical_fd,-0.1229,original,Main,
4,-0.1217,-0.077,-0.1589,interest,classical_fd,-0.1212,original,Main,
5,-0.1111,-0.0729,-0.1441,interest,classical_fd,-0.1092,original,Main,
6,-0.0936,-0.0609,-0.1259,interest,classical_fd,-0.0914,original,Main,
7,-0.0755,-0.0425,-0.107,interest,classical_fd,-0.0715,original,Main,
8,-0.0575,-0.0227,-0.0897,interest,classical_fd,-0.052,original,Main,
9,-0.039,-0.0026,-0.0742,interest,classical_fd,-0.0344,original,Main,
10,-0.0229,0.0132,-0.0632,interest,classical_fd,-0.0193,original,Main,
11,-0.0094,0.0261,-0.0517,interest,classical_fd,-0.007,original,Main,
12,9e-04,0.0361,-0.0421,interest,classical_fd,0.0026,original,Main,
13,0.0079,0.0427,-0.0317,interest,classical_fd,0.0098,original,Main,
14,0.0129,0.0475,-0.0251,interest,classical_fd,0.0149,original,Main,
15,0.0165,0.0521,-0.0209,interest,classical_fd,0.0184,original,Main,
16,0.0189,0.0538,-0.0154,interest,classical_fd,0.0206,original,Main,
17,0.0207,0.0544,-0.0126,interest,classical_fd,0.0218,original,Main,
18,0.0234,0.0547,-0.0103,interest,classical_fd,0.0222,original,Main,
19,0.0237,0.0547,-0.0091,interest,classical_fd,0.0222,original,Main,
20,0.0233,0.0563,-0.0097,interest,classical_fd,0.0218,original,Main,
21,0.0235,0.0557,-0.0101,interest,classical_fd,0.0211,original,Main,
22,0.023,0.0561,-0.0103,interest,classical_fd,0.0203,original,Main,
23,0.0227,0.0559,-0.0092,interest,classical_fd,0.0193,original,Main,
24,0.0226,0.0545,-0.0105,interest,classical_fd,0.0183,original,Main,
25,0.0224,0.0537,-0.0114,interest,classical_fd,0.0173,original,Main,
26,0.0216,0.0525,-0.0117,interest,classical_fd,0.0163,original,Main,
27,0.0207,0.0525,-0.0122,interest,classical_fd,0.0153,original,Main,
28,0.0198,0.0525,-0.0126,interest,classical_fd,0.0143,original,Main,
29,0.0185,0.0523,-0.013,interest,classical_fd,0.0134,original,Main,
30,0.0178,0.0522,-0.0133,interest,classical_fd,0.0125,original,Main,
31,0.0176,0.0517,-0.0141,interest,classical_fd,0.0117,original,Main,
32,0.0172,0.0511,-0.0148,interest,classical_fd,0.0109,original,Main,
33,0.0163,0.0508,-0.0158,interest,classical_fd,0.0102,original,Main,
34,0.0155,0.0497,-0.0168,interest,classical_fd,0.0096,original,Main,
35,0.0148,0.0494,-0.0182,interest,classical_fd,0.009,original,Main,
36,0.0142,0.0495,-0.018,interest,classical_fd,0.0084,original,Main,
37,0.0135,0.0486,-0.0184,interest,classical_fd,0.0079,original,Main,
38,0.0134,0.0491,-0.0194,interest,classical_fd,0.0075,original,Main,
39,0.0128,0.0494,-0.0203,interest,classical_fd,0.0071,original,Main,
40,0.0125,0.0495,-0.0206,interest,classical_fd,0.0067,original,Main,
1,-0.0079,0.0314,-0.0465,inflation,classical_fd,-0.0034,original,Main,
2,-0.0183,0.0114,-0.0503,inflation,classical_fd,-0.0168,original,Main,
3,-0.0319,-0.0033,-0.0596,inflation,classical_fd,-0.0304,original,Main,
4,-0.0352,-0.0095,-0.0614,inflation,classical_fd,-0.0334,original,Main,
5,-0.0338,-0.0113,-0.0571,inflation,classical_fd,-0.0325,original,Main,
6,-0.0279,-0.008,-0.0503,inflation,classical_fd,-0.0269,original,Main,
7,-0.0211,-0.0011,-0.042,inflation,classical_fd,-0.0192,original,Main,
8,-0.0132,0.0088,-0.035,inflation,classical_fd,-0.0103,original,Main,
9,-0.0044,0.0184,-0.0273,inflation,classical_fd,-0.0018,original,Main,
10,0.0046,0.0269,-0.0206,inflation,classical_fd,0.0057,original,Main,
11,0.0111,0.0342,-0.0143,inflation,classical_fd,0.0118,original,Main,
12,0.0163,0.0405,-0.0108,inflation,classical_fd,0.0163,original,Main,
13,0.0203,0.0447,-0.0064,inflation,classical_fd,0.0193,original,Main,
14,0.0223,0.0467,-0.0035,inflation,classical_fd,0.021,original,Main,
15,0.0233,0.0476,-9e-04,inflation,classical_fd,0.0216,original,Main,
16,0.0239,0.0473,1e-04,inflation,classical_fd,0.0214,original,Main,
17,0.0235,0.0469,3e-04,inflation,classical_fd,0.0206,original,Main,
18,0.0229,0.0464,4e-04,inflation,classical_fd,0.0194,original,Main,
19,0.0221,0.0458,6e-04,inflation,classical_fd,0.0179,original,Main,
20,0.0212,0.0445,-3e-04,inflation,classical_fd,0.0164,original,Main,
21,0.0199,0.0433,-7e-04,inflation,classical_fd,0.0148,original,Main,
22,0.0187,0.0417,-0.0016,inflation,classical_fd,0.0133,original,Main,
23,0.0173,0.0407,-0.0032,inflation,classical_fd,0.0118,original,Main,
24,0.0159,0.0391,-0.004,inflation,classical_fd,0.0104,original,Main,
25,0.0143,0.0385,-0.0051,inflation,classical_fd,0.009,original,Main,
26,0.0135,0.0372,-0.0062,inflation,classical_fd,0.0078,original,Main,
27,0.0126,0.0362,-0.0075,inflation,classical_fd,0.0066,original,Main,
28,0.0121,0.0356,-0.0085,inflation,classical_fd,0.0056,original,Main,
29,0.0109,0.0339,-0.01,inflation,classical_fd,0.0046,original,Main,
30,0.0098,0.0323,-0.0102,inflation,classical_fd,0.0037,original,Main,
31,0.0091,0.0309,-0.0114,inflation,classical_fd,0.0029,original,Main,
32,0.0082,0.0303,-0.0123,inflation,classical_fd,0.0021,original,Main,
33,0.0073,0.0292,-0.0127,inflation,classical_fd,0.0015,original,Main,
34,0.0062,0.0288,-0.0132,inflation,classical_fd,9e-04,original,Main,
35,0.0054,0.0276,-0.0139,inflation,classical_fd,3e-04,original,Main,
36,0.0047,0.0267,-0.0147,inflation,classical_fd,-1e-04,original,Main,
37,0.0042,0.0256,-0.0149,inflation,classical_fd,-5e-04,original,Main,
38,0.0038,0.0246,-0.0156,inflation,classical_fd,-9e-04,original,Main,
39,0.0034,0.0244,-0.0156,inflation,classical_fd,-0.0012,original,Main,
40,0.003,0.0239,-0.0157,inflation,classical_fd,-0.0014,original,Main,
1,-0.1914,-0.0739,-0.2844,productivity,classical_fd,-0.2211,original,Main,
2,-0.1376,-0.0192,-0.2474,productivity,classical_fd,-0.1555,original,Main,
3,-0.0202,0.1316,-0.1721,productivity,classical_fd,-0.0321,original,Main,
4,0.0896,0.2529,-0.0879,productivity,classical_fd,0.0782,original,Main,
5,0.1717,0.3364,-0.0139,productivity,classical_fd,0.1574,original,Main,
6,0.2224,0.3817,0.0381,productivity,classical_fd,0.2023,original,Main,
7,0.2378,0.3854,0.0646,productivity,classical_fd,0.2161,original,Main,
8,0.2294,0.3748,0.0735,productivity,classical_fd,0.2054,original,Main,
9,0.2014,0.3469,0.0569,productivity,classical_fd,0.1776,original,Main,
10,0.1696,0.3162,0.0212,productivity,classical_fd,0.1398,original,Main,
11,0.1327,0.2766,-0.0162,productivity,classical_fd,0.0976,original,Main,
12,0.095,0.2449,-0.0555,productivity,classical_fd,0.0553,original,Main,
13,0.0573,0.2167,-0.0953,productivity,classical_fd,0.0158,original,Main,
14,0.0261,0.191,-0.1286,productivity,classical_fd,-0.0192,original,Main,
15,-0.002,0.1642,-0.1561,productivity,classical_fd,-0.0491,original,Main,
16,-0.0281,0.1468,-0.1829,productivity,classical_fd,-0.0739,original,Main,
17,-0.0477,0.1333,-0.2058,productivity,classical_fd,-0.0938,original,Main,
18,-0.0606,0.1326,-0.2283,productivity,classical_fd,-0.1096,original,Main,
19,-0.0709,0.1308,-0.2449,productivity,classical_fd,-0.122,original,Main,
20,-0.0793,0.1322,-0.2616,productivity,classical_fd,-0.1315,original,Main,
21,-0.0829,0.1265,-0.2819,productivity,classical_fd,-0.1388,original,Main,
22,-0.0852,0.1327,-0.294,productivity,classical_fd,-0.1445,original,Main,
23,-0.0876,0.1364,-0.3136,productivity,classical_fd,-0.1489,original,Main,
24,-0.09,0.1437,-0.328,productivity,classical_fd,-0.1524,original,Main,
25,-0.0917,0.1455,-0.3376,productivity,classical_fd,-0.1553,original,Main,
26,-0.0925,0.1429,-0.3478,productivity,classical_fd,-0.1576,original,Main,
27,-0.0951,0.1431,-0.3587,productivity,classical_fd,-0.1596,original,Main,
28,-0.0967,0.1489,-0.3606,productivity,classical_fd,-0.1614,original,Main,
29,-0.0982,0.1538,-0.3643,productivity,classical_fd,-0.1629,original,Main,
30,-0.1004,0.1556,-0.3725,productivity,classical_fd,-0.1643,original,Main,
31,-0.1011,0.1621,-0.3769,productivity,classical_fd,-0.1656,original,Main,
